uid,username,password,email,phone,identity,booking_num,is_accessible
1,john20,eI%5#@Igp,3xEgpCHIc@uwaterloo.ca,5926715110,admin,0,False
2,kenneth44,6Ge@Of&wZ,g4Wo6dcO@hotmail.com,9183706313,admin,0,False
3,grantrobert,gjr+1bTKT34D~OR,njdxwj32sA@gmail.com,7269660951,admin,0,False
4,williamgarcia,yUj*T@t%KwKS,2WTB8taIwXsv@gmail.com,9374995832,admin,0,False
5,hooversean,c*X#nHCHG_1^S.X,CE4fskuEpY@outlook.com,6593120110,admin,0,False
6,bfarley,S&#dA15tkgMLnx#a,ClRctLZTWJy@hotmail.com,3531171791,staff,1,False
7,courtneyhorne,vcC1h*t~=MbVsMAD,SXhPePZGk@yahoo.com,8579195512,staff,0,False
8,ramosjessica,MN#%*A+*:N$3,I6gyeHgZAJ@gmail.com,9376254266,student,1,True
9,howellhannah,n-7&qj+CGVUtnz,sZhO3STQq@gmail.com,3071555416,student,0,False
10,elizabeth53,NhZ2h4S2+^RdE$,AZ1xXWKajcsW@outlook.com,3633825517,student,2,False
11,morgankimberly,_qew.PO0=4A6TT,WJUb6H291D@gmail.com,2449977012,staff,0,True
12,christine59,K0Ay`Zxl,45ffeYZxkvNk@hotmail.com,8201806907,student,0,False
13,mathew67,cpR^Ob~z,WZMarxLP4@outlook.com,2279364325,staff,0,False
14,adkinsmichael,9M*B-1U1`&3vwz*,ncU2rw0QWrN@hotmail.com,9163371790,staff,1,False
15,donald26,mEp4BVV*,xqyq00uWiqy@gmail.com,,student,0,False
16,mthompson,ydp`wK#%F-8*om6,WFg2YDNOeO@uwaterloo.ca,4599201624,visitor,1,False
17,willisjames,kU'zLg0=,ttgLHBPnL9T@uwaterloo.ca,3161089495,visitor,2,False
18,johnmcdonald,SN=#MJ8GQ^,HMg8odmSng@yahoo.com,4025743202,student,1,False
19,william60,=*&nWtxlCC6,nSEpxe9325@uwaterloo.ca,6207450489,student,1,False
20,nmacdonald,wg%&fwLsQX,OtJoA16nHO@hotmail.com,3523482031,visitor,1,True
21,emorgan,MoEb3@DYW&+X=h,1JR0mwFEQ4R@gmail.com,7550425485,student,1,False
22,john28,wqCvbNdOtZGi,ll7tpBiu7ePO@uwaterloo.ca,,visitor,0,False
23,rbanks,vha`87w%jK3s=RL,FpyJIrN4C1XJ@uwaterloo.ca,,student,0,False
24,mdavis,'Eczk'cIkp_~,XNupGlZ3EP@hotmail.com,,visitor,2,True
25,velazquezolivia,wjJx7VXhgr8cW,f62ogVOGZYDG@hotmail.com,7845262119,visitor,0,False
26,ijones,Y8czV8U10cN1it2G,aDl1WSErtQJM@hotmail.com,9411805483,staff,0,False
27,dereklopez,*7BLwef#y#P3,N1TqiRxuaGr@uwaterloo.ca,1141200355,visitor,1,False
28,aaronschultz,pr`hHxR7s917,y5WWiVkW@outlook.com,,student,1,False
29,umclaughlin,ITR;csMRlN,740uK53yh6@outlook.com,3278036805,visitor,2,False
30,matthewramsey,^egGFihLsM:^_l@,DaLfIwDVeU6@hotmail.com,8643322057,staff,2,False
31,parkerwilliam,6KmVoEfTspa7,DIkJJo1iG9u@uwaterloo.ca,1061670817,visitor,0,False
32,uclark,k7*pRSFAUh,JRvgiXJ94LH2@hotmail.com,4902273608,visitor,3,False
33,tammymitchell,I.F^2iXm3F,uifAZpdUB2i@outlook.com,8911242535,visitor,0,False
34,lchandler,^GW9PV@GGwcYfYGL,T8iH3InYny@yahoo.com,,staff,0,True
35,juliewoods,h4L$4p'cA63DtAk,G5Bzx5gMRw5b@gmail.com,3614664118,student,0,False
36,vsexton,JWQeY-AD^xo#ven*,PG0986KpR7@hotmail.com,1372101805,student,0,False
37,fsparks,pEE_V*KUJz',Obm3mVbs@hotmail.com,6635298987,student,1,False
38,wmiller,7yk$lf3Oawr-tJ,B3q3gB2kIC4@yahoo.com,5678391697,student,3,False
39,martinezjennifer,@.OKAn^WY&FhD,Lr6RUL46kB4F@gmail.com,8501131239,staff,1,True
40,tommybowen,WSx^J:JOe,GJ5ZzKzxu8@yahoo.com,,staff,0,False
41,newmannicholas,OxU5.kR.*owIuz&,FeNYIxxG@yahoo.com,4920012799,visitor,0,False
42,jpatterson,+PqHZ4l'$,QJwJNcK8TDy@outlook.com,2773040158,student,1,False
43,dmullins,ZdbyqN3eG6aBw,O1Z1eHnXF@outlook.com,9297926107,visitor,0,False
44,tony11,jim@^j3=7,fw47ZG0vFY@outlook.com,,student,2,False
45,riverajoshua,@gFrJENOQE_#Ep,OtxrobK8LZp@gmail.com,6059880105,staff,0,False
46,thompsonmichael,NN7&4WWa*,UxcPxr5rYWx@uwaterloo.ca,7014407092,staff,0,False
47,stevenrivera,FQ0g8kuG4C,F6tSz1u9GJ@hotmail.com,4929925246,visitor,0,False
48,martinezshane,~mnLV2b;Sg,nK7KMxdgJ@hotmail.com,3614495739,staff,2,False
49,zwalker,34+W=fXUj;uom,EvY4Yu0M@outlook.com,2711135845,visitor,0,False
50,cameronobrien,4nU9$4:wTy,RwVy0Nu6xFd@yahoo.com,9255843953,staff,0,False
51,jconley,m@6^DN%oDEi83v7:,FkHem5N8R@uwaterloo.ca,8339791686,visitor,0,False
52,griffinraymond,EzTL'UPWiPVSZ^,tqK0LHfS5Ph@uwaterloo.ca,,visitor,0,False
53,igoodman,Njv_xVQv47;T3,4SGscp1sj@yahoo.com,,student,3,False
54,ryanperez,W`@fz-qZ@,rCzUrQ5T@outlook.com,7204461104,student,1,False
55,yspears,Qls#hQ0h,YrUscOu0k@hotmail.com,1633350147,staff,0,False
56,rhondachung,Am5R=K$JtxOj2n,67CUXlTvTchg@uwaterloo.ca,4710342523,visitor,0,False
57,joseph71,dN#K'ci*wWTR,OtbDa0Q570@gmail.com,9482454337,student,0,False
